Model,Accuracy,CV Accuracy
Logistic Regression,0.8109427820207837,0.8117076224761309
Decision Tree,0.9083510704895456,0.9179840350602598
Random Forest,0.9396519343933892,0.9436844576616059
SVM,0.7609866032302491,0.749726091720144
XGBoost,0.9412795793163892,0.9438409766786664
